index,Player,Role,Amount,Team,Year,Player Origin,Player Age,Country,y14,y15,y16,y17,y18,y19,y20,y21,y22
120,Carlos Brathwaite,All-Rounder,20000000,Sunrisers Hyderabad,2018.0,Overseas,30.0,4,0,0,0,0,1,0,0,0,0
121,Carlos Brathwaite,All-Rounder,50000000,Kolkata Knight Riders,2019.0,Overseas,31.0,4,0,0,0,0,0,1,0,0,0
126,Chamika Karunaratne,All-Rounder,5000000,Kolkata Knight Riders,2022.0,Overseas,26.0,2,0,0,0,0,0,0,0,0,1
131,Chirag Suri,Batsman,1000000,Gujarat Lions,2017.0,Indian,22.0,2,0,0,0,1,0,0,0,0,0
132,Chris Green,All-Rounder,2000000,Kolkata Knight Riders,2020.0,Overseas,27.0,5,0,0,0,0,0,0,1,0,0
133,Chris Jordan,All-Rounder,5000000,Sunrisers Hyderabad,2017.0,Overseas,29.0,4.5,0,0,0,1,0,0,0,0,0
134,Chris Jordan,All-Rounder,10000000,Sunrisers Hyderabad,2018.0,Overseas,30.0,4.5,0,0,0,0,1,0,0,0,0
135,Chris Jordan,All-Rounder,30000000,Kings XI Punjab,2020.0,Overseas,32.0,4.5,0,0,0,0,0,0,1,0,0
136,Chris Jordan,All-Rounder,36000000,Chennai Super Kings,2022.0,Overseas,34.0,4.5,0,0,0,0,0,0,0,0,1
137,Chris Lynn,Batsman,13000000,Kolkata Knight Riders,2014.0,Overseas,24.0,5,1,0,0,0,0,0,0,0,0
138,Chris Lynn,Batsman,96000000,Kolkata Knight Riders,2018.0,Overseas,28.0,5,0,0,0,0,1,0,0,0,0
139,Chris Lynn,Batsman,20000000,Mumbai Indians,2020.0,Overseas,30.0,5,0,0,0,0,0,0,1,0,0
140,Chris Woakes,All-Rounder,42000000,Kolkata Knight Riders,2017.0,Overseas,28.0,4.5,0,0,0,1,0,0,0,0,0
141,Chris Woakes,All-Rounder,74000000,Royal Challengers Bangalore,2018.0,Overseas,29.0,4.5,0,0,0,0,1,0,0,0,0
142,Chris Woakes,All-Rounder,15000000,Delhi Capitals,2020.0,Overseas,31.0,4.5,0,0,0,0,0,0,1,0,0
143,Colin De Grandhomme,All-Rounder,22000000,Royal Challengers Bangalore,2018.0,Overseas,32.0,4,0,0,0,0,1,0,0,0,0
144,Colin Ingram,Batsman,64000000,Delhi Capitals,2019.0,Overseas,34.0,3.5,0,0,0,0,0,1,0,0,0
