Player,Role,Amount,Team,Year,Player Origin,Player Age,Country,y14,y15,y16,y17,y18,y19,y20,y21,y22,fcode
Kagiso Rabada,Bowler,50000000,Delhi Daredevils,2017.0,Overseas,22.0,3.5,0,0,0,1,0,0,0,0,0,89
Kagiso Rabada,Bowler,42000000,Delhi Daredevils,2018.0,Overseas,23.0,3.5,0,0,0,0,1,0,0,0,0,89
Kagiso Rabada,Bowler,92500000,Punjab Kings,2022.0,Overseas,27.0,3.5,0,0,0,0,0,0,0,0,1,89
Kane Richardson,Bowler,52500000,Pune Warriors India,2013.0,Overseas,22.0,5.0,0,0,0,0,0,0,0,0,0,90
Kane Richardson,Bowler,10000000,Rajasthan Royals,2014.0,Overseas,23.0,5.0,1,0,0,0,0,0,0,0,0,90
Kane Richardson,Bowler,20000000,Royal Challengers Bangalore,2016.0,Overseas,25.0,5.0,0,0,1,0,0,0,0,0,0,90
Kane Richardson,Bowler,40000000,Royal Challengers Bangalore,2020.0,Overseas,29.0,5.0,0,0,0,0,0,0,1,0,0,90
Kane Williamson,All-Rounder,6000000,Sunrisers Hyderabad,2015.0,Overseas,25.0,4.0,0,1,0,0,0,0,0,0,0,91
Kane Williamson,Batsman,30000000,Sunrisers Hyderabad,2018.0,Overseas,28.0,4.0,0,0,0,0,1,0,0,0,0,91
Keemo Paul,All-Rounder,5000000,Delhi Capitals,2019.0,Overseas,21.0,4.0,0,0,0,0,0,1,0,0,0,92
Kevin Pietersen,Batsman,90000000,Delhi Daredevils,2014.0,Overseas,34.0,4.5,1,0,0,0,0,0,0,0,0,93
Kevin Pietersen,Batsman,20000000,Sunrisers Hyderabad,2015.0,Overseas,35.0,4.5,0,1,0,0,0,0,0,0,0,93
Kevin Pietersen,Batsman,35000000,Rising Pune Supergiant,2016.0,Overseas,36.0,4.5,0,0,1,0,0,0,0,0,0,93
Kevon Cooper,All-Rounder,3000000,Rajasthan Royals,2014.0,Overseas,25.0,4.0,1,0,0,0,0,0,0,0,0,94
Kyle Abbott,Bowler,3000000,Chennai Super Kings,2015.0,Overseas,28.0,3.5,0,1,0,0,0,0,0,0,0,95
Kyle Abbott,Bowler,21000000,Kings XI Punjab,2016.0,Overseas,29.0,3.5,0,0,1,0,0,0,0,0,0,95
Kyle Jamieson,All-Rounder,150000000,Royal Challengers Bangalore,2021.0,Overseas,27.0,4.0,0,0,0,0,0,0,0,1,0,96
Liam Livingstone,All-Rounder,5000000,Rajasthan Royals,2019.0,Overseas,26.0,4.5,0,0,0,0,0,1,0,0,0,97
Liam Livingstone,All-Rounder,7500000,Rajasthan Royals,2021.0,Overseas,28.0,4.5,0,0,0,0,0,0,0,1,0,97
Liam Livingstone,All-Rounder,115000000,Punjab Kings,2022.0,Overseas,29.0,4.5,0,0,0,0,0,0,0,0,1,97
Lockie Ferguson,Bowler,5000000,Rising Pune Supergiant,2017.0,Overseas,26.0,4.0,0,0,0,1,0,0,0,0,0,98
Lockie Ferguson,Bowler,16000000,Kolkata Knight Riders,2019.0,Overseas,28.0,4.0,0,0,0,0,0,1,0,0,0,98
Marco Jansen,All-Rounder,2000000,Mumbai Indians,2021.0,Overseas,21.0,3.5,0,0,0,0,0,0,0,1,0,99
Marco Jansen,All-Rounder,42000000,Sunrisers Hyderabad,2022.0,Overseas,22.0,3.5,0,0,0,0,0,0,0,0,1,99
Marcus Stoinis,All-Rounder,2500000,Delhi Daredevils,2015.0,Overseas,26.0,5.0,0,1,0,0,0,0,0,0,0,100
Marcus Stoinis,All-Rounder,5500000,Kings XI Punjab,2016.0,Overseas,27.0,5.0,0,0,1,0,0,0,0,0,0,100
Marcus Stoinis,All-Rounder,62000000,Kings XI Punjab,2018.0,Overseas,29.0,5.0,0,0,0,0,1,0,0,0,0,100
Marcus Stoinis,All-Rounder,48000000,Delhi Capitals,2020.0,Overseas,31.0,5.0,0,0,0,0,0,0,1,0,0,100
Mark Wood,Bowler,15000000,Chennai Super Kings,2018.0,Overseas,28.0,4.5,0,0,0,0,1,0,0,0,0,101
Mark Wood,Bowler,75000000,Lucknow Super Giants,2022.0,Overseas,32.0,4.5,0,0,0,0,0,0,0,0,1,101
Martin Guptill,Batsman,5000000,Kings XI Punjab,2017.0,Overseas,31.0,4.0,0,0,0,1,0,0,0,0,0,102
Martin Guptill,Batsman,10000000,Sunrisers Hyderabad,2019.0,Overseas,33.0,4.0,0,0,0,0,0,1,0,0,0,102
Matt Henry,Bowler,3000000,Chennai Super Kings,2014.0,Overseas,23.0,4.0,1,0,0,0,0,0,0,0,0,103
Matt Henry,Bowler,5000000,Kings XI Punjab,2017.0,Overseas,26.0,4.0,0,0,0,1,0,0,0,0,0,103
Matthew Wade,Wicket Keeper,24000000,Gujarat Titans,2022.0,Overseas,35.0,5.0,0,0,0,0,0,0,0,0,1,104
Mitchell Johnson,All-Rounder,65000000,Kings XI Punjab,2014.0,Overseas,33.0,5.0,1,0,0,0,0,0,0,0,0,105
Mitchell Johnson,Bowler,20000000,Mumbai Indians,2017.0,Overseas,36.0,5.0,0,0,0,1,0,0,0,0,0,105
Mitchell Johnson,Bowler,20000000,Kolkata Knight Riders,2018.0,Overseas,37.0,5.0,0,0,0,0,1,0,0,0,0,105
Mitchell Marsh,All-Rounder,48000000,Rising Pune Supergiant,2016.0,Overseas,25.0,5.0,0,0,1,0,0,0,0,0,0,106
Mitchell Marsh,All-Rounder,20000000,Sunrisers Hyderabad,2020.0,Overseas,29.0,5.0,0,0,0,0,0,0,1,0,0,106
Mitchell Marsh,All-Rounder,65000000,Delhi Capitals,2022.0,Overseas,31.0,5.0,0,0,0,0,0,0,0,0,1,106
Mitchell McClenaghan,Bowler,3000000,Mumbai Indians,2015.0,Overseas,29.0,4.0,0,1,0,0,0,0,0,0,0,107
Mitchell Santner,All-Rounder,5000000,Chennai Super Kings,2018.0,Overseas,26.0,4.0,0,0,0,0,1,0,0,0,0,108
Mitchell Santner,All-Rounder,19000000,Chennai Super Kings,2022.0,Overseas,30.0,4.0,0,0,0,0,0,0,0,0,1,108
Mitchell Starc,Bowler,50000000,Royal Challengers Bangalore,2014.0,Overseas,24.0,5.0,1,0,0,0,0,0,0,0,0,109
Moeen Ali,All-Rounder,17000000,Royal Challengers Bangalore,2018.0,Overseas,31.0,4.5,0,0,0,0,1,0,0,0,0,110
Moeen Ali,All-Rounder,70000000,Chennai Super Kings,2021.0,Overseas,34.0,4.5,0,0,0,0,0,0,0,1,0,110
Mohammad Nabi,All-Rounder,3000000,Sunrisers Hyderabad,2017.0,Overseas,32.0,2.0,0,0,0,1,0,0,0,0,0,111
